Ethnicity,Age,Gender,SocioeconomicStatus,Region,Outcome
Asian,55,Female,Medium,North,1
Asian,51,Male,Low,London,0
Asian,63,Male,High,London,1
Asian,60,Female,Medium,North,0
Asian,19,Female,Medium,South,0
Mixed,53,Female,Medium,South,1
Asian,23,Female,Medium,South,0
Mixed,53,Male,Medium,North,0
Black,39,Female,High,South,0
Mixed,22,Male,Low,South,0
Mixed,55,Female,Medium,South,0
White,58,Male,Low,North,1
Asian,39,Male,High,London,0
White,65,Male,Medium,London,0
Asian,28,Male,Low,South,0
White,60,Male,Medium,London,1
Black,48,Female,Low,London,0
Mixed,59,Female,High,North,0
Asian,46,Male,Medium,London,1
Asian,50,Male,Medium,South,0
White,39,Female,Medium,London,0
White,66,Female,Medium,London,1
Black,44,Male,High,South,0
White,25,Female,Low,London,0
Mixed,65,Female,Medium,South,0
Black,23,Male,Medium,North,0
Asian,63,Male,Medium,South,1
White,42,Male,Medium,London,0
Asian,51,Female,Medium,North,0
Mixed,26,Male,Low,London,1
Mixed,53,Male,Medium,South,0
White,48,Female,High,London,0
Mixed,36,Male,Medium,London,1
Asian,66,Female,Low,South,1
Asian,18,Male,Medium,North,1
Black,41,Female,Medium,North,0
Mixed,51,Female,Medium,North,1
White,34,Female,High,London,0
White,51,Male,High,London,0
Black,52,Male,High,South,0
Mixed,53,Female,Medium,London,1
Black,30,Male,High,North,1
Asian,42,Female,Medium,South,1
Mixed,29,Female,High,London,1
Mixed,38,Female,Medium,South,0
Mixed,54,Male,High,North,0
Mixed,63,Female,Medium,South,1
Mixed,55,Female,Low,London,0
Asian,18,Male,Medium,London,0
White,65,Female,Medium,South,1
Black,23,Male,Medium,London,1
Mixed,62,Female,High,North,0
Mixed,62,Female,High,South,1
White,28,Male,High,North,1
White,33,Male,High,North,0
Mixed,39,Male,High,London,0
Black,63,Female,Medium,South,0
Asian,28,Female,High,London,0
Black,54,Male,Low,South,0
White,43,Female,Low,London,1
Mixed,43,Female,Low,South,0
Mixed,59,Female,High,North,1
Mixed,38,Female,Low,London,0
White,43,Male,Low,North,0
Mixed,32,Female,Low,London,1
Black,56,Male,Medium,London,0
Asian,52,Female,Low,London,1
Asian,28,Female,High,South,0
Mixed,26,Male,High,London,1
Black,59,Male,High,South,0
Asian,40,Male,Low,London,0
Mixed,21,Male,High,North,1
Asian,47,Male,High,South,1
Mixed,45,Female,Low,South,0
Mixed,42,Male,High,London,1
Black,39,Male,Low,South,1
Black,42,Male,Low,London,0
White,69,Male,High,North,0
Mixed,43,Male,High,South,0
White,67,Male,Medium,North,0
Black,46,Male,Low,London,0
White,63,Male,Low,London,1
White,58,Male,High,London,1
Black,49,Female,Medium,London,0
Mixed,43,Male,Medium,South,0
Asian,45,Male,Low,London,1
White,37,Female,Medium,South,0
Black,65,Female,High,South,0
Mixed,19,Male,Low,North,1
Asian,40,Male,Medium,South,1
Black,56,Female,High,North,1
White,22,Female,Low,North,1
Asian,38,Male,Medium,North,1
Asian,39,Male,Medium,South,0
Mixed,66,Female,Low,South,0
Asian,28,Female,Medium,North,1
Asian,47,Male,Medium,London,0
Black,45,Male,Low,North,0
Black,53,Male,Medium,North,0
Black,34,Male,Medium,South,0
Asian,38,Female,Medium,South,0
Black,54,Male,Medium,North,0
Mixed,53,Female,High,South,0
White,42,Male,Medium,London,1
Asian,41,Male,Low,South,1
Black,47,Male,Medium,London,1
Mixed,59,Female,Medium,North,0
Mixed,52,Male,Low,London,0
Black,38,Female,High,London,0
Asian,23,Female,Low,London,1
Black,38,Male,Medium,South,1
White,25,Female,Medium,North,0
White,22,Male,Medium,North,1
Mixed,57,Female,High,South,1
Mixed,27,Male,Medium,North,0
Black,48,Male,Medium,North,1
Asian,47,Female,Medium,North,1
Black,68,Male,Low,London,0
Black,38,Female,Medium,London,0
Black,53,Female,Low,London,1
Black,44,Male,Medium,South,1
White,55,Male,High,London,0
Asian,52,Female,High,North,1
Mixed,49,Female,High,North,0
Mixed,43,Male,Low,London,0
Mixed,21,Female,Low,South,0
Black,44,Female,High,South,1
White,53,Male,Medium,London,1
Asian,54,Female,Low,South,1
White,44,Male,Low,North,1
Black,64,Female,Medium,South,1
Asian,65,Male,High,London,0
Black,23,Male,High,London,1
Mixed,35,Female,Low,South,1
Asian,43,Male,Low,South,0
Asian,61,Female,Medium,North,0
White,41,Female,High,South,1
White,69,Male,Low,South,0
Black,24,Male,Low,London,0
Black,61,Female,High,London,1
Black,31,Male,High,London,1
Mixed,30,Female,Medium,South,0
Asian,43,Male,High,South,0
Black,60,Female,High,North,1
Black,60,Male,High,North,1
Asian,19,Male,Low,South,1
Asian,63,Male,Low,London,1
Black,64,Male,High,North,1
White,40,Male,Low,North,1
Mixed,45,Female,Low,North,0
White,18,Male,High,South,0
White,49,Male,Low,London,1
White,29,Male,Medium,North,0
Black,63,Female,Low,South,0
Asian,67,Female,Medium,London,0
Asian,52,Male,Medium,North,1
White,43,Female,High,London,1
White,48,Female,Medium,North,0
White,29,Male,Medium,South,1
White,46,Female,Low,London,0
Black,22,Male,Medium,South,1
Black,52,Female,High,North,1
Asian,24,Female,High,London,1
Asian,33,Female,Low,North,0
Mixed,49,Male,Medium,South,0
Mixed,69,Male,High,London,0
Mixed,34,Female,Low,London,1
White,38,Female,Low,North,1
White,44,Female,Low,North,1
Black,57,Female,High,London,0
White,64,Female,Medium,North,1
Asian,69,Female,Low,South,0
White,32,Male,Low,South,0
White,40,Male,Low,London,1
White,25,Male,Medium,North,0
Black,42,Female,Low,London,0
Black,28,Male,High,South,0
White,38,Male,High,London,0
Asian,27,Male,Medium,London,0
Black,67,Female,Low,South,1
Asian,26,Male,High,London,0
Black,65,Male,High,London,0
Mixed,18,Male,Low,South,0
White,39,Male,High,South,1
Asian,23,Male,High,London,1
Black,47,Male,Low,North,1
Asian,51,Male,Low,North,1
White,30,Female,Medium,North,0
Asian,39,Female,Low,South,1
Mixed,23,Male,High,South,0
Mixed,58,Female,Low,South,0
Black,63,Female,Low,London,1
Asian,41,Female,Medium,North,0
Asian,38,Male,Low,North,0
White,56,Male,High,London,1
White,40,Female,High,London,1
Asian,22,Male,Low,London,0
Black,24,Male,High,London,1
White,20,Male,High,London,1
Mixed,30,Female,Medium,London,1
White,29,Male,High,London,1
Black,23,Male,Low,North,1
Mixed,51,Female,Low,North,1
White,32,Female,Medium,London,1
Asian,64,Male,Medium,South,1
White,35,Male,Medium,North,1
Mixed,66,Female,High,South,0
Asian,20,Male,High,South,1
White,39,Female,High,London,0
Mixed,52,Female,Medium,North,0
Black,45,Male,Medium,North,1
White,58,Male,Low,North,0
Asian,59,Male,Low,London,1
Asian,29,Female,Low,South,0
White,18,Male,High,London,1
Asian,53,Male,Low,South,1
Asian,47,Male,Low,South,1
Black,40,Male,Low,North,0
White,54,Female,High,London,1
White,45,Male,Medium,North,0
Mixed,66,Female,Medium,London,0
Asian,22,Male,High,London,0
White,53,Male,Low,South,1
Mixed,64,Female,High,North,0
Mixed,27,Female,High,North,1
White,22,Female,Medium,South,0
Black,31,Male,High,London,0
Black,41,Male,Low,North,1
Black,45,Female,Medium,North,1
Mixed,38,Female,Medium,North,1
Black,62,Female,Medium,South,0
Mixed,68,Female,High,South,1
Mixed,57,Male,Low,North,1
White,29,Female,Low,North,0
Mixed,37,Female,Medium,North,1
Asian,68,Male,Low,South,1
Black,49,Male,Medium,South,1
Mixed,68,Female,Low,London,0
Asian,55,Male,Low,London,1
White,57,Female,Medium,South,1
Mixed,59,Female,Medium,London,0
White,38,Female,High,North,1
Asian,34,Female,Low,South,1
Black,18,Male,Low,London,1
White,68,Male,Medium,North,1
Mixed,61,Female,Medium,London,0
White,45,Male,Medium,South,1
Mixed,19,Male,Low,London,1
Mixed,34,Female,High,North,0
Black,56,Male,Low,North,1
Black,31,Male,Low,South,1
Black,31,Male,Medium,London,0
Asian,61,Female,High,North,1
Asian,65,Male,Low,London,1
Mixed,35,Male,High,London,0
Black,57,Female,Medium,South,1
Mixed,51,Male,High,London,1
Black,60,Male,Medium,South,0
Asian,18,Female,High,South,0
White,59,Male,Low,South,0
Asian,35,Male,Low,North,0
Mixed,65,Female,Low,North,1
Black,51,Male,High,North,0
Mixed,40,Female,High,South,1
Mixed,66,Female,Medium,South,1
White,33,Male,High,North,0
White,36,Female,High,South,1
Asian,54,Male,Medium,South,1
Asian,23,Male,Medium,South,1
White,41,Female,High,South,0
White,34,Male,Medium,South,0
Mixed,65,Female,Medium,South,0
Black,33,Male,High,London,0
Asian,56,Male,Low,South,1
Black,65,Female,High,North,0
Asian,58,Male,High,North,0
Black,23,Female,High,South,1
White,33,Female,High,South,0
Mixed,26,Female,Low,South,0
White,46,Male,High,North,1
Mixed,21,Female,Low,North,1
Black,43,Female,Medium,London,0
Black,55,Female,Medium,North,0
Mixed,43,Female,Low,South,0
White,31,Female,Low,London,1
White,52,Female,High,North,1
Asian,66,Female,Low,London,0
Mixed,60,Female,Medium,South,0
White,41,Male,Medium,London,1
White,25,Male,Low,South,1
Asian,57,Female,Low,North,1
Black,42,Female,High,London,0
Asian,21,Female,Low,South,1
Asian,32,Female,High,North,1
Asian,33,Female,Medium,North,1
White,28,Male,Low,South,1
Black,45,Male,Medium,North,0
Asian,24,Male,High,South,0
Mixed,67,Male,Medium,South,0
Black,55,Female,Low,North,0
White,41,Female,Medium,North,1
Black,48,Male,High,London,0
Mixed,21,Male,Medium,South,0
Asian,54,Male,Low,South,1
Asian,52,Male,Medium,North,0
Black,23,Male,Low,London,0
White,63,Male,Low,London,0
Black,50,Male,High,South,1
Black,69,Female,Medium,London,0
Asian,49,Male,Medium,South,0
Asian,63,Female,High,South,0
Mixed,55,Female,High,South,1
White,52,Male,Low,London,0
Asian,34,Female,High,South,1
Mixed,49,Female,High,South,0
White,31,Male,High,London,0
Mixed,36,Male,High,North,1
Black,41,Female,Medium,South,0
Black,56,Male,Low,South,0
Asian,28,Male,High,London,1
Mixed,24,Male,High,London,0
Mixed,62,Male,Low,North,1
Asian,41,Female,Medium,South,0
Black,41,Female,Low,South,1
Asian,31,Female,High,London,1
Asian,41,Male,Low,London,0
White,28,Female,Medium,South,1
Mixed,25,Female,Medium,South,0
Mixed,61,Female,High,South,1
Mixed,32,Male,High,South,0
Black,59,Male,Low,London,1
Mixed,19,Female,High,South,1
Mixed,41,Male,High,London,0
Black,62,Female,Medium,South,0
Mixed,27,Female,Medium,North,0
White,49,Male,Medium,South,1
White,34,Female,Medium,South,0
White,27,Male,Medium,London,1
White,39,Female,Medium,London,0
Asian,23,Female,Low,North,0
Mixed,44,Female,Medium,South,1
Black,37,Female,Medium,South,1
Black,18,Female,High,South,1
Asian,34,Female,Low,North,1
Black,18,Female,High,London,1
Asian,54,Male,Medium,London,1
Black,32,Male,Medium,London,0
Black,18,Female,Medium,South,1
Black,34,Male,Medium,South,1
Asian,63,Female,Low,London,1
Mixed,62,Male,High,South,1
Asian,60,Male,Medium,North,0
Asian,61,Male,Low,London,0
Mixed,55,Female,High,North,0
Mixed,60,Female,High,North,1
White,19,Male,Medium,South,0
Black,35,Female,Low,North,0
Asian,29,Female,High,London,1
Asian,46,Female,High,South,1
Black,40,Female,Medium,South,0
Asian,64,Male,High,North,1
Black,26,Female,Medium,London,0
White,25,Male,Low,London,1
Mixed,67,Male,High,London,1
Black,33,Male,Low,London,0
Black,40,Male,Medium,South,0
Black,46,Female,Low,London,0
Mixed,27,Male,Low,North,0
Mixed,29,Female,Medium,South,0
Black,69,Female,Medium,South,1
Black,29,Female,Low,London,0
Black,47,Female,High,North,1
Asian,27,Female,High,London,1
White,31,Male,Low,London,1
Asian,21,Female,Medium,London,0
Black,64,Male,High,North,0
White,37,Female,Low,London,1
Black,58,Male,Medium,North,1
Asian,56,Female,High,London,0
Black,24,Male,High,South,1
Mixed,47,Male,High,North,0
White,69,Female,Low,South,0
Mixed,58,Female,Low,London,1
Black,41,Male,High,South,1
White,27,Female,Low,North,0
Black,69,Male,Medium,London,0
Asian,62,Female,Medium,South,0
Asian,55,Female,Medium,South,1
Asian,53,Male,Medium,South,0
Mixed,34,Male,High,South,0
Mixed,38,Male,High,London,0
Mixed,63,Male,High,London,0
Mixed,20,Female,High,North,1
White,18,Female,Low,London,0
Asian,35,Female,Low,South,1
Mixed,19,Male,Low,North,0
Mixed,57,Female,High,South,1
Asian,65,Male,Medium,North,0
Mixed,21,Female,Medium,North,1
White,49,Male,Medium,London,0
Black,36,Female,High,London,1
Black,37,Male,Medium,South,1
Black,59,Female,High,South,1
Black,66,Male,Low,North,0
Mixed,66,Female,Low,South,1
Asian,24,Female,Medium,North,0
Mixed,26,Female,Medium,South,1
Black,24,Female,High,London,0
Black,44,Male,High,North,0
Asian,38,Male,High,North,0
Mixed,52,Female,Low,North,0
Asian,41,Male,High,London,0
White,49,Female,Medium,North,0
Black,29,Female,High,North,1
White,40,Male,High,London,1
Asian,53,Female,High,South,0
White,66,Female,Medium,South,0
Black,46,Female,Medium,South,1
Asian,20,Female,Low,North,0
White,60,Male,High,London,1
Mixed,25,Female,High,North,1
Asian,51,Male,Low,London,1
Asian,31,Female,High,North,1
Mixed,53,Male,High,London,1
Black,65,Male,High,North,0
Black,63,Female,Low,London,0
Asian,49,Male,Medium,London,0
Black,24,Female,High,South,1
Black,27,Male,Medium,South,0
Asian,29,Male,Low,North,1
Black,57,Male,Medium,London,0
Black,40,Male,High,South,0
Asian,28,Female,Low,South,0
Black,69,Female,Medium,South,1
Asian,30,Male,High,North,1
Black,29,Male,Medium,London,1
Black,24,Male,Medium,London,1
White,61,Male,Low,South,1
Black,27,Female,High,South,1
Mixed,24,Female,High,North,0
Asian,68,Female,Medium,London,0
Mixed,44,Female,Medium,North,0
Asian,24,Female,Medium,South,1
Mixed,67,Male,Low,South,0
White,41,Male,Medium,North,0
White,40,Female,Low,London,1
White,42,Female,High,London,0
Mixed,61,Male,Low,South,1
Black,53,Female,Medium,South,1
Black,50,Female,High,London,1
Mixed,54,Female,High,London,1
White,59,Male,High,South,1
Asian,56,Female,Medium,North,1
Black,69,Female,High,North,0
Asian,24,Male,Low,North,1
White,47,Female,Low,South,1
Black,48,Female,Low,South,0
Asian,62,Male,Medium,London,0
White,63,Female,Low,North,0
White,54,Male,High,London,1
White,38,Female,Medium,South,0
Black,51,Female,Medium,South,1
White,63,Male,High,London,0
Asian,38,Male,High,London,0
Mixed,57,Female,Medium,London,0
Mixed,37,Female,High,North,1
Mixed,51,Male,Low,London,0
Black,25,Female,Low,South,0
Black,49,Male,High,South,1
Black,69,Male,Medium,North,1
Mixed,47,Female,Low,South,1
Mixed,46,Female,High,North,1
Black,22,Female,Low,South,1
Asian,47,Male,Low,London,1
Black,29,Male,High,London,1
White,56,Female,High,North,0
Mixed,44,Male,Low,North,0
Black,30,Male,Low,London,0
Black,64,Female,Medium,North,1
Asian,27,Female,High,London,1
White,53,Male,Medium,South,0
White,48,Male,High,North,1
Asian,33,Female,Low,North,1
Black,56,Female,Low,South,1
White,62,Male,Medium,South,1
Mixed,53,Female,High,North,1
Asian,43,Male,Low,North,0
Asian,61,Female,High,North,0
Black,37,Male,High,London,1
White,51,Female,Medium,London,1
Mixed,54,Female,Medium,London,1
Asian,25,Female,Low,South,0
White,21,Female,Low,London,0
White,46,Male,Medium,London,0
Asian,48,Female,Medium,London,1
Black,19,Male,Medium,South,1
Asian,42,Male,High,North,1
Black,55,Male,Low,South,1
Black,20,Male,Medium,London,0
Black,63,Male,Low,South,0
Asian,59,Female,Medium,North,1
Black,60,Female,High,North,0
White,22,Female,High,South,1
Black,39,Female,Medium,South,1
White,33,Male,Medium,South,0
White,26,Male,Medium,South,0
Black,65,Female,High,North,0
Black,26,Male,Low,London,0
White,66,Male,High,London,1
White,29,Male,Medium,North,1
Mixed,64,Male,High,North,1
Asian,59,Female,Medium,North,1
Asian,21,Male,High,South,0
White,66,Female,Medium,North,1
Black,35,Male,Medium,London,1
Black,35,Female,Medium,London,0
White,59,Female,Medium,South,1
Black,60,Female,Medium,South,1
Black,50,Male,Low,North,1
Black,59,Male,Low,South,1
Mixed,20,Female,Low,South,1
White,55,Male,High,South,0
Mixed,34,Male,Low,North,1
Mixed,29,Female,Low,North,1
Asian,28,Female,Low,London,1
Mixed,34,Female,Medium,South,0
Black,52,Female,High,South,0
Mixed,58,Female,Low,South,1
Black,67,Female,Low,North,1
White,23,Male,Medium,North,0
Black,52,Female,Medium,North,1
White,23,Female,High,London,0
White,49,Male,Medium,North,1
Black,28,Male,Low,London,0
Mixed,60,Male,High,South,1
Black,56,Female,Medium,North,1
Mixed,30,Female,Low,South,0
White,30,Male,Medium,South,0
Black,56,Male,High,London,0
Black,63,Female,Low,London,1
White,51,Female,High,South,1
White,20,Male,Medium,South,1
Mixed,49,Male,Low,London,1
Asian,21,Male,Low,London,1
Asian,57,Male,Low,South,1
Mixed,18,Female,Medium,London,1
Mixed,26,Female,Medium,London,0
Mixed,66,Male,Low,South,1
Mixed,67,Female,Medium,South,0
White,24,Male,Medium,North,1
White,44,Female,Medium,South,0
Mixed,20,Male,Medium,South,0
Black,39,Male,Medium,South,0
Black,33,Male,Medium,London,1
Asian,25,Male,Medium,London,0
Mixed,22,Male,Low,London,1
White,66,Male,Medium,London,0
Asian,47,Female,High,South,0
White,45,Male,Medium,South,0
Black,68,Male,Medium,South,0
Black,44,Female,Low,North,0
Black,67,Male,Low,South,0
White,39,Female,Low,North,0
Mixed,47,Male,Low,London,0
Mixed,54,Male,Low,North,0
White,24,Male,High,North,1
Mixed,67,Male,Medium,London,0
Mixed,47,Female,Medium,London,0
Asian,30,Male,Medium,London,0
White,39,Female,Medium,North,1
Mixed,28,Female,Medium,London,0
White,22,Male,Medium,South,1
Asian,39,Female,Medium,North,1
Black,32,Male,High,North,0
Black,56,Female,Medium,South,0
Black,54,Female,Low,North,0
Black,48,Male,Medium,North,0
Black,46,Male,Low,South,0
Asian,56,Male,Low,North,0
Asian,34,Male,Medium,South,1
Asian,58,Male,High,North,0
Mixed,23,Female,Low,London,0
Mixed,58,Male,Low,North,1
Asian,34,Male,Medium,London,0
White,51,Male,High,London,0
Mixed,40,Male,Medium,London,1
White,69,Male,High,London,0
White,47,Male,Low,South,1
Mixed,30,Male,Medium,South,0
Black,47,Male,High,South,1
Asian,66,Female,High,London,1
Mixed,37,Female,Low,South,0
Mixed,23,Male,Low,London,0
Asian,48,Female,Medium,North,0
Mixed,36,Male,Medium,South,1
Black,23,Female,Medium,London,1
Asian,51,Male,Medium,South,0
Mixed,45,Female,Low,South,1
White,30,Female,Medium,South,1
Asian,69,Female,High,South,1
Asian,27,Female,Medium,South,0
Black,58,Female,High,South,1
White,62,Male,Medium,South,0
Mixed,24,Female,Medium,North,1
Black,35,Male,High,North,0
Asian,39,Male,Low,North,0
Black,31,Male,Medium,South,1
Black,53,Female,High,South,1
Asian,25,Male,High,North,0
White,29,Female,Medium,South,1
Black,57,Female,High,South,0
White,65,Male,High,London,0
Mixed,50,Male,High,North,0
White,41,Female,Medium,North,0
Asian,59,Female,High,South,1
Asian,56,Male,High,North,0
Black,31,Male,Low,South,0
White,66,Male,High,North,1
White,68,Male,Medium,London,0
White,22,Male,High,London,1
Black,36,Female,High,London,1
Asian,20,Female,Low,London,0
White,18,Female,High,North,0
White,57,Male,High,South,1
Mixed,58,Male,Medium,London,1
Mixed,54,Female,High,North,1
Black,50,Female,Medium,North,1
Asian,66,Male,High,London,1
White,63,Female,High,North,0
Asian,34,Female,High,South,1
Asian,26,Female,Low,London,0
Asian,48,Female,Medium,London,0
Asian,52,Female,Medium,South,0
Asian,20,Male,Medium,South,0
White,30,Female,Low,North,1
White,69,Male,Medium,North,0
White,54,Male,Low,South,0
White,55,Male,Medium,South,0
Asian,31,Male,Medium,London,0
White,23,Female,Low,North,1
Asian,46,Male,Low,North,1
White,66,Female,High,London,1
White,26,Male,Medium,South,1
Asian,53,Male,Low,North,1
Asian,40,Female,High,North,0
Black,32,Male,Low,South,1
Mixed,67,Female,Medium,London,0
Mixed,64,Male,Medium,London,1
Asian,67,Female,High,South,1
Asian,24,Male,High,North,1
White,64,Female,High,South,0
Mixed,42,Male,High,London,0
Mixed,54,Female,Medium,North,1
Mixed,40,Female,Low,London,1
White,28,Male,Medium,South,1
Asian,63,Male,High,London,0
White,25,Female,High,North,1
Mixed,53,Female,Medium,South,1
Asian,59,Male,Medium,South,0
Black,56,Female,Low,South,1
White,18,Female,Low,North,0
Mixed,69,Female,Low,North,1
White,61,Female,High,South,0
Mixed,30,Female,Low,South,1
Asian,33,Female,High,South,0
Black,63,Female,Medium,South,0
Asian,30,Male,Medium,South,1
Mixed,54,Female,Medium,London,0
Mixed,31,Female,High,South,1
Asian,30,Female,Medium,South,0
Black,63,Male,High,South,1
White,29,Male,High,South,0
White,45,Female,Medium,North,1
Black,39,Female,Low,North,0
Black,37,Male,Low,London,0
Black,64,Male,Medium,North,1
Black,36,Female,High,North,0
Black,28,Female,High,South,1
Mixed,47,Female,High,South,0
Asian,43,Female,Low,South,1
Black,32,Male,Medium,London,1
Mixed,47,Female,Low,North,1
Asian,46,Female,Low,South,0
Asian,49,Female,Medium,London,0
Mixed,47,Male,Low,London,0
Mixed,61,Male,High,South,1
Black,68,Female,Medium,London,1
White,33,Female,Low,London,1
Asian,53,Female,Medium,North,1
White,35,Female,High,South,0
Asian,58,Male,High,South,0
Asian,65,Female,Low,South,0
White,56,Female,High,South,1
Black,45,Female,Low,North,0
Black,36,Female,High,South,1
Mixed,28,Male,Medium,North,0
White,34,Female,Medium,North,0
Asian,38,Male,Medium,North,1
Asian,54,Female,Medium,South,0
White,61,Female,Low,South,0
Asian,68,Female,Medium,North,1
Mixed,51,Female,Low,North,0
White,50,Male,High,South,0
Asian,46,Male,High,London,1
Asian,21,Female,High,South,1
White,49,Male,High,North,0
White,28,Male,Medium,North,1
Mixed,43,Female,Medium,North,1
Mixed,35,Female,Low,North,0
Black,49,Male,High,South,1
Black,44,Male,Medium,South,1
Mixed,33,Male,Low,North,0
White,27,Female,Low,South,1
Mixed,61,Male,Low,South,1
Asian,51,Female,Low,North,1
Mixed,50,Female,Low,North,1
White,27,Male,Low,South,0
Mixed,59,Male,Low,London,0
Black,43,Female,Low,North,1
White,59,Male,High,South,1
Black,42,Female,Low,North,0
Asian,19,Female,Medium,North,0
White,43,Male,High,London,1
Asian,37,Male,High,London,1
Asian,20,Female,Low,North,0
White,49,Male,Medium,London,1
Asian,18,Male,Low,London,0
White,41,Male,High,North,0
Asian,67,Female,Medium,North,0
White,60,Female,Medium,London,1
White,61,Male,Medium,London,1
Mixed,50,Female,Medium,London,0
Mixed,55,Male,Medium,London,0
Mixed,65,Female,High,London,1
White,69,Male,High,North,0
Black,52,Male,High,North,1
Black,34,Female,Low,London,1
White,65,Male,High,South,0
Mixed,60,Male,Medium,North,0
Mixed,65,Female,Medium,London,1
Black,61,Female,Low,London,1
White,50,Female,High,South,0
Black,28,Female,High,South,1
White,40,Male,Low,London,0
Asian,55,Male,Low,London,0
Black,49,Male,Medium,North,1
Asian,36,Male,High,North,1
White,29,Male,Medium,North,0
White,45,Female,Low,North,0
Black,19,Male,Medium,London,1
Mixed,27,Male,Medium,London,1
Asian,36,Male,Medium,North,1
White,45,Male,Low,South,0
Asian,64,Female,Low,London,1
Black,25,Male,Low,South,0
Mixed,60,Male,High,North,1
Asian,40,Female,Medium,London,0
White,65,Female,Medium,South,1
White,62,Female,High,North,1
Mixed,47,Female,Low,North,1
White,45,Female,Medium,North,1
Black,30,Male,High,London,1
Asian,54,Male,Low,North,1
Black,29,Female,High,North,1
White,27,Male,Low,London,1
White,68,Male,Medium,North,1
Asian,34,Male,Low,London,0
Black,18,Male,Low,London,0
Asian,39,Female,Low,South,0
Black,32,Male,High,London,0
Asian,33,Male,Medium,North,1
Black,37,Female,Low,South,0
Black,27,Female,High,London,0
Black,59,Female,Low,North,0
Asian,43,Male,High,North,0
Mixed,66,Male,High,North,0
Asian,40,Female,High,North,1
Asian,34,Male,High,North,1
Black,51,Male,Low,London,0
Black,58,Female,Low,London,0
Black,39,Male,Medium,South,1
Mixed,21,Male,Low,London,1
Black,24,Male,Medium,South,0
Mixed,22,Male,Low,South,0
Black,48,Male,Low,London,0
White,36,Male,High,London,0
Mixed,21,Male,Medium,London,0
Mixed,67,Male,Medium,North,1
White,39,Male,Low,South,1
White,20,Female,Low,London,0
Black,40,Female,Low,London,1
White,21,Male,Low,North,1
Asian,63,Female,Medium,London,1
Mixed,41,Female,Low,North,1
White,31,Female,Medium,North,1
White,66,Male,Medium,London,0
Black,58,Female,Low,North,0
White,68,Female,High,North,1
Mixed,20,Male,High,North,0
White,64,Female,Medium,London,1
Black,38,Female,Medium,North,1
White,43,Male,Low,North,0
Black,18,Male,Low,London,1
Black,47,Male,Medium,London,1
Mixed,68,Male,Medium,London,0
Asian,21,Male,Low,London,0
Mixed,31,Female,Medium,North,1
