loan_approved,predicted_loan_approved,predicted_probability,derived_race,derived_ethnicity,derived_sex
0,0,0.30064501787240516,White,Not Hispanic or Latino,Joint
0,0,0.28158759580671877,White,Not Hispanic or Latino,Male
0,1,0.9654826077174737,White,Not Hispanic or Latino,Male
0,0,0.14241504751033762,White,Not Hispanic or Latino,Joint
1,1,0.7576190781927162,White,Joint,Joint
1,1,0.9164677545813165,White,Not Hispanic or Latino,Joint
0,0,0.3037459569584003,White,Not Hispanic or Latino,Joint
1,1,0.9702855350470442,White,Not Hispanic or Latino,Joint
0,1,0.5604027236168164,White,Not Hispanic or Latino,Male
1,1,0.9816823485986177,White,Not Hispanic or Latino,Joint
1,1,0.8646908376094682,White,Not Hispanic or Latino,Joint
1,1,0.9599054698323283,Asian,Not Hispanic or Latino,Joint
0,1,0.8923630339338702,White,Not Hispanic or Latino,Joint
0,0,0.3847740383681544,White,Not Hispanic or Latino,Male
0,0,0.4380240421509068,White,Not Hispanic or Latino,Male
0,0,0.42534003917829594,White,Ethnicity Not Available,Male
1,1,0.8138658961529449,White,Not Hispanic or Latino,Joint
1,1,0.8294986523499074,White,Not Hispanic or Latino,Joint
0,0,0.18656778777513805,Asian,Not Hispanic or Latino,Male
1,1,0.9574384833707483,White,Not Hispanic or Latino,Joint
1,1,0.9574484027713889,White,Not Hispanic or Latino,Joint
0,0,0.1968370710838224,Asian,Not Hispanic or Latino,Joint
1,1,0.5521795229657597,White,Not Hispanic or Latino,Female
1,1,0.8413608795041108,White,Not Hispanic or Latino,Joint
1,1,0.772971183993055,White,Not Hispanic or Latino,Joint
1,1,0.9863853380547127,Asian,Not Hispanic or Latino,Joint
1,1,0.9121564760814522,White,Not Hispanic or Latino,Joint
1,1,0.7746667362101761,White,Hispanic or Latino,Female
0,0,0.2187951882937054,White,Not Hispanic or Latino,Male
0,0,0.25822550834756935,White,Not Hispanic or Latino,Male
1,1,0.7360976161376359,White,Not Hispanic or Latino,Male
0,1,0.6180432274530925,White,Not Hispanic or Latino,Joint
1,1,0.5559604363567945,White,Not Hispanic or Latino,Joint
1,1,0.9042186092488986,American Indian or Alaska Native,Not Hispanic or Latino,Male
0,1,0.5827715363779027,White,Hispanic or Latino,Joint
1,1,0.9290447450129007,White,Not Hispanic or Latino,Female
0,0,0.44745618608432586,White,Not Hispanic or Latino,Male
1,1,0.6388965059733723,White,Not Hispanic or Latino,Female
1,1,0.8874716032128623,White,Not Hispanic or Latino,Joint
1,1,0.7032909334614457,Asian,Not Hispanic or Latino,Male
1,1,0.963539352131612,White,Not Hispanic or Latino,Joint
1,1,0.9322669285192562,White,Not Hispanic or Latino,Joint
1,1,0.9457735398581664,White,Not Hispanic or Latino,Joint
1,1,0.9625346123283839,White,Not Hispanic or Latino,Male
0,0,0.24847086717791667,Asian,Not Hispanic or Latino,Female
0,0,0.2763407232333053,Asian,Not Hispanic or Latino,Joint
0,0,0.24448042593400762,Asian,Not Hispanic or Latino,Female
1,1,0.8307874877661416,White,Not Hispanic or Latino,Joint
0,0,0.3741623457959057,Black or African American,Not Hispanic or Latino,Joint
0,1,0.8826568545279387,White,Not Hispanic or Latino,Female
1,1,0.960213041746067,White,Not Hispanic or Latino,Joint
1,1,0.753022778670146,White,Not Hispanic or Latino,Female
1,1,0.9270653048144433,White,Not Hispanic or Latino,Joint
0,0,0.249788829130187,White,Ethnicity Not Available,Male
1,1,0.9621983580462706,White,Not Hispanic or Latino,Joint
0,0,0.21245682536014188,White,Not Hispanic or Latino,Female
0,1,0.7179071061057176,Asian,Not Hispanic or Latino,Male
0,1,0.5499191852436237,White,Not Hispanic or Latino,Joint
1,1,0.753747396680821,White,Not Hispanic or Latino,Joint
1,1,0.7717214442382286,White,Not Hispanic or Latino,Male
1,1,0.8079440657623191,White,Not Hispanic or Latino,Female
0,0,0.46391338871799787,White,Ethnicity Not Available,Joint
0,0,0.3524408839966836,White,Not Hispanic or Latino,Joint
1,1,0.9189485446717609,White,Not Hispanic or Latino,Joint
1,1,0.7197215949610681,White,Not Hispanic or Latino,Male
1,1,0.5818064699973945,American Indian or Alaska Native,Not Hispanic or Latino,Male
1,1,0.7590767645659338,White,Not Hispanic or Latino,Joint
0,1,0.7762774700859837,White,Not Hispanic or Latino,Female
1,1,0.72757917338076,White,Not Hispanic or Latino,Joint
1,1,0.631481106354236,White,Not Hispanic or Latino,Male
0,0,0.21221889826445517,White,Not Hispanic or Latino,Male
0,1,0.8827293750858553,White,Not Hispanic or Latino,Male
0,0,0.318885544547017,White,Not Hispanic or Latino,Female
1,1,0.6287841415249671,White,Not Hispanic or Latino,Male
1,1,0.7389209317130899,White,Not Hispanic or Latino,Male
1,1,0.9539128517550644,Asian,Not Hispanic or Latino,Joint
1,1,0.9534693966515515,White,Joint,Joint
0,0,0.29624021261864697,White,Not Hispanic or Latino,Joint
0,0,0.2683391688298312,White,Not Hispanic or Latino,Male
1,1,0.700900325395623,White,Not Hispanic or Latino,Joint
1,1,0.9154420326932762,White,Not Hispanic or Latino,Joint
1,1,0.7952461031685388,White,Not Hispanic or Latino,Joint
1,1,0.8641395179087676,White,Not Hispanic or Latino,Male
1,1,0.948003450573925,White,Not Hispanic or Latino,Joint
1,1,0.7720230859383956,White,Not Hispanic or Latino,Joint
1,1,0.9692585297721918,White,Not Hispanic or Latino,Male
1,1,0.9904231583337477,White,Not Hispanic or Latino,Joint
0,1,0.7775989376893306,White,Not Hispanic or Latino,Joint
1,1,0.8917096648741756,White,Not Hispanic or Latino,Female
1,1,0.7018601509770046,White,Not Hispanic or Latino,Male
0,0,0.24806687855483803,White,Not Hispanic or Latino,Male
0,0,0.36320361284206504,White,Not Hispanic or Latino,Joint
1,1,0.7108734565856986,White,Joint,Joint
1,1,0.9271308714859974,White,Not Hispanic or Latino,Joint
1,1,0.9241011349789358,White,Not Hispanic or Latino,Joint
0,1,0.7796100982775952,White,Not Hispanic or Latino,Joint
1,1,0.7726341454772337,White,Not Hispanic or Latino,Joint
1,1,0.9572015009701341,White,Not Hispanic or Latino,Male
0,1,0.9302491572347442,White,Not Hispanic or Latino,Male
1,1,0.7688904799526802,White,Not Hispanic or Latino,Joint
1,1,0.7831887433403133,White,Not Hispanic or Latino,Joint
0,1,0.5144612875809494,White,Hispanic or Latino,Male
1,1,0.9323490159078222,White,Not Hispanic or Latino,Joint
0,0,0.23794518001131018,White,Not Hispanic or Latino,Female
0,1,0.5584341520378303,White,Not Hispanic or Latino,Joint
0,0,0.4405918391140303,White,Not Hispanic or Latino,Male
1,1,0.9068702420955206,White,Not Hispanic or Latino,Joint
1,1,0.8384054841027415,White,Not Hispanic or Latino,Female
1,1,0.9012326943442177,White,Not Hispanic or Latino,Male
0,0,0.4220792350335185,White,Not Hispanic or Latino,Joint
1,1,0.7245952985883037,White,Not Hispanic or Latino,Joint
1,1,0.8707717044711003,White,Not Hispanic or Latino,Joint
1,1,0.8933597584591615,White,Not Hispanic or Latino,Female
0,1,0.6871178318371253,White,Hispanic or Latino,Female
1,1,0.6198158323307977,White,Not Hispanic or Latino,Female
0,0,0.45887576539728836,Asian,Not Hispanic or Latino,Male
1,1,0.8616638481652011,White,Not Hispanic or Latino,Female
0,1,0.6832733453527459,White,Hispanic or Latino,Male
1,1,0.9633251918279778,White,Not Hispanic or Latino,Joint
0,1,0.7214678933763535,White,Not Hispanic or Latino,Male
1,1,0.8861186121142651,White,Not Hispanic or Latino,Female
0,0,0.24430211516614056,Asian,Not Hispanic or Latino,Joint
1,1,0.7062276875267723,White,Not Hispanic or Latino,Female
0,1,0.7139346845761392,White,Not Hispanic or Latino,Male
1,1,0.8514751488774501,White,Not Hispanic or Latino,Joint
1,1,0.8926368910977788,White,Not Hispanic or Latino,Male
0,1,0.6723792866168635,White,Hispanic or Latino,Male
0,0,0.25375227438705644,White,Not Hispanic or Latino,Male
1,1,0.9266162740454708,White,Not Hispanic or Latino,Joint
1,1,0.830139736853909,White,Not Hispanic or Latino,Female
0,0,0.4399835091899829,Asian,Not Hispanic or Latino,Female
1,1,0.536899254283255,White,Not Hispanic or Latino,Joint
1,1,0.9106471816158676,White,Not Hispanic or Latino,Joint
0,1,0.7238549578734318,Asian,Not Hispanic or Latino,Female
0,1,0.9426303653867086,White,Not Hispanic or Latino,Joint
1,1,0.8871051676011339,White,Not Hispanic or Latino,Male
1,1,0.5010238941822551,White,Not Hispanic or Latino,Male
1,1,0.8528521186176486,White,Not Hispanic or Latino,Female
1,1,0.9217292839786729,White,Not Hispanic or Latino,Joint
1,1,0.7552393933949935,White,Not Hispanic or Latino,Joint
0,1,0.8846353338449697,White,Ethnicity Not Available,Male
1,1,0.8384061921486663,White,Not Hispanic or Latino,Male
0,1,0.9265184359972756,White,Ethnicity Not Available,Male
1,1,0.8116710593742981,White,Not Hispanic or Latino,Male
1,1,0.7063769823326886,White,Not Hispanic or Latino,Joint
0,0,0.36676850546693834,White,Not Hispanic or Latino,Female
0,1,0.9018212249969231,White,Not Hispanic or Latino,Joint
0,1,0.884233412242372,Asian,Not Hispanic or Latino,Male
0,0,0.3079687384260299,White,Not Hispanic or Latino,Joint
1,1,0.9261213068488221,White,Not Hispanic or Latino,Male
1,1,0.9639487987033191,White,Not Hispanic or Latino,Joint
1,1,0.9322055172286978,White,Not Hispanic or Latino,Joint
1,1,0.8236590477677198,White,Not Hispanic or Latino,Male
1,1,0.7237835835992882,White,Not Hispanic or Latino,Male
0,0,0.24332780353175362,White,Not Hispanic or Latino,Male
1,1,0.9655044475825154,White,Not Hispanic or Latino,Joint
1,1,0.9176804812450029,White,Joint,Joint
0,1,0.8790236403862622,White,Not Hispanic or Latino,Male
0,1,0.5887804321626002,Asian,Not Hispanic or Latino,Joint
1,1,0.5134296730508541,White,Hispanic or Latino,Female
1,1,0.8501356904843453,White,Joint,Joint
1,1,0.841717303457368,White,Not Hispanic or Latino,Female
0,1,0.8843851046336619,White,Not Hispanic or Latino,Joint
0,0,0.43879383530185734,White,Not Hispanic or Latino,Male
1,1,0.955998340938401,Asian,Not Hispanic or Latino,Joint
1,1,0.7263783652847422,Black or African American,Not Hispanic or Latino,Joint
1,1,0.8346026405086147,White,Not Hispanic or Latino,Male
1,1,0.8628252283096365,White,Not Hispanic or Latino,Joint
0,0,0.28326704929350266,White,Not Hispanic or Latino,Joint
0,0,0.21313831471110684,White,Not Hispanic or Latino,Male
0,1,0.5637504009593676,White,Not Hispanic or Latino,Female
1,1,0.8420534307671449,Asian,Not Hispanic or Latino,Joint
1,1,0.9515654777636964,White,Not Hispanic or Latino,Joint
0,1,0.5015070881529976,White,Not Hispanic or Latino,Female
0,0,0.33338880802383447,White,Not Hispanic or Latino,Joint
0,0,0.44955257252774805,White,Not Hispanic or Latino,Joint
1,1,0.7502925012890655,White,Not Hispanic or Latino,Joint
1,1,0.7689656852316702,White,Not Hispanic or Latino,Joint
1,1,0.6860386328255965,White,Not Hispanic or Latino,Female
0,0,0.21543977721139038,White,Ethnicity Not Available,Male
1,1,0.9786864436218414,Asian,Not Hispanic or Latino,Joint
1,1,0.8326259335059563,White,Not Hispanic or Latino,Joint
1,1,0.9457548951074489,White,Not Hispanic or Latino,Joint
0,0,0.23290062231493963,White,Not Hispanic or Latino,Male
1,1,0.9550795481781341,White,Not Hispanic or Latino,Joint
1,1,0.828785142286909,White,Not Hispanic or Latino,Male
0,1,0.5517144046175266,White,Not Hispanic or Latino,Joint
0,0,0.26047925780786524,White,Not Hispanic or Latino,Male
0,1,0.6695570623757242,White,Not Hispanic or Latino,Female
0,0,0.28028501448170234,White,Not Hispanic or Latino,Joint
1,1,0.8658036344406154,White,Not Hispanic or Latino,Joint
0,0,0.46431572799416754,White,Not Hispanic or Latino,Joint
1,1,0.8542811375943059,White,Not Hispanic or Latino,Male
1,1,0.5898586563084256,White,Not Hispanic or Latino,Joint
1,1,0.8387646420394426,White,Not Hispanic or Latino,Male
1,1,0.934413010614337,White,Not Hispanic or Latino,Joint
1,1,0.5324807124307356,White,Not Hispanic or Latino,Joint
1,1,0.9311796620850873,White,Not Hispanic or Latino,Joint
1,1,0.6364976633266851,White,Not Hispanic or Latino,Male
1,1,0.7001614350788081,White,Not Hispanic or Latino,Joint
1,1,0.9387270617061259,White,Not Hispanic or Latino,Joint
1,1,0.9758577202394481,White,Not Hispanic or Latino,Female
1,1,0.6055652932136278,White,Not Hispanic or Latino,Female
1,1,0.7696382322225379,White,Not Hispanic or Latino,Male
1,1,0.8729469446165118,White,Not Hispanic or Latino,Joint
1,1,0.8218337397680721,White,Not Hispanic or Latino,Joint
1,1,0.920408533983334,White,Not Hispanic or Latino,Male
1,1,0.8272232204203418,White,Not Hispanic or Latino,Joint
1,1,0.7512971333999282,White,Not Hispanic or Latino,Male
1,1,0.7102260845082097,White,Not Hispanic or Latino,Joint
1,1,0.8960212795695266,White,Not Hispanic or Latino,Male
1,1,0.9358941283054362,White,Not Hispanic or Latino,Joint
1,1,0.9070332104837269,White,Not Hispanic or Latino,Female
1,1,0.9136349075484013,White,Not Hispanic or Latino,Joint
0,1,0.5170040964464306,White,Not Hispanic or Latino,Female
0,1,0.5303274202394368,Asian,Not Hispanic or Latino,Joint
0,0,0.3038099691014493,White,Not Hispanic or Latino,Joint
0,0,0.18977242819506587,White,Not Hispanic or Latino,Male
0,0,0.2515391581150281,White,Not Hispanic or Latino,Male
1,1,0.704280093981669,White,Not Hispanic or Latino,Female
1,1,0.8239705752535881,White,Not Hispanic or Latino,Female
1,1,0.9258190475834285,White,Not Hispanic or Latino,Joint
1,1,0.9473173766264608,White,Not Hispanic or Latino,Joint
1,1,0.8737247127648798,White,Not Hispanic or Latino,Male
1,1,0.812179174258732,White,Not Hispanic or Latino,Joint
0,0,0.36698877350817255,White,Not Hispanic or Latino,Joint
0,1,0.6596054518772289,White,Not Hispanic or Latino,Female
0,1,0.861221183130845,White,Joint,Joint
0,0,0.22890764943553057,White,Not Hispanic or Latino,Male
0,0,0.2839774232907537,White,Not Hispanic or Latino,Female
0,0,0.41804430297184814,White,Not Hispanic or Latino,Female
0,0,0.4134532412567475,White,Ethnicity Not Available,Joint
0,0,0.24663871729957007,Black or African American,Not Hispanic or Latino,Joint
0,0,0.3047086620820116,White,Not Hispanic or Latino,Joint
1,1,0.9292634585954805,White,Not Hispanic or Latino,Joint
1,1,0.8536141682941453,White,Not Hispanic or Latino,Joint
0,1,0.860746720868119,White,Not Hispanic or Latino,Joint
0,0,0.204834552908566,White,Not Hispanic or Latino,Joint
0,0,0.3413795179562175,White,Not Hispanic or Latino,Joint
1,1,0.8482904187665036,White,Not Hispanic or Latino,Joint
1,1,0.7482454549023628,White,Not Hispanic or Latino,Joint
1,1,0.8969841866656256,White,Not Hispanic or Latino,Joint
1,1,0.6836666807469438,White,Not Hispanic or Latino,Joint
1,1,0.7822274200756669,White,Not Hispanic or Latino,Sex Not Available
1,1,0.8661122459900169,White,Not Hispanic or Latino,Joint
1,1,0.8263175780587138,White,Not Hispanic or Latino,Male
1,1,0.9100093642040271,White,Hispanic or Latino,Male
1,1,0.7094383111788921,White,Not Hispanic or Latino,Joint
1,1,0.9384806042451589,White,Not Hispanic or Latino,Male
1,1,0.9712624062417025,White,Not Hispanic or Latino,Joint
1,1,0.7471588114694678,White,Not Hispanic or Latino,Joint
1,1,0.9619301210877664,White,Not Hispanic or Latino,Joint
1,1,0.795728466318205,Asian,Not Hispanic or Latino,Joint
1,1,0.9410915057369602,White,Not Hispanic or Latino,Female
1,1,0.7815260826670023,White,Not Hispanic or Latino,Female
1,1,0.9656852279336405,White,Not Hispanic or Latino,Joint
1,1,0.8894709680606535,White,Not Hispanic or Latino,Joint
1,1,0.8502419194711949,White,Not Hispanic or Latino,Male
1,1,0.925293502279269,White,Not Hispanic or Latino,Joint
1,1,0.9616586495051018,White,Not Hispanic or Latino,Joint
1,1,0.9441084353442626,White,Not Hispanic or Latino,Joint
1,1,0.9823676197764679,White,Not Hispanic or Latino,Joint
1,1,0.910846439008913,White,Not Hispanic or Latino,Joint
1,1,0.9327589115893957,White,Not Hispanic or Latino,Joint
1,1,0.6858594340491079,White,Not Hispanic or Latino,Joint
1,1,0.6451474369465828,White,Not Hispanic or Latino,Joint
1,1,0.8927147634348458,White,Not Hispanic or Latino,Joint
1,1,0.5848220314359415,White,Not Hispanic or Latino,Male
1,1,0.7722471763681479,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Female
1,1,0.883305207503791,Asian,Not Hispanic or Latino,Female
0,1,0.629250524530433,White,Not Hispanic or Latino,Joint
1,1,0.6498847436530688,White,Not Hispanic or Latino,Joint
0,0,0.26020565357826164,Asian,Not Hispanic or Latino,Female
1,1,0.8558187320758319,White,Not Hispanic or Latino,Female
1,1,0.6176976659902447,White,Not Hispanic or Latino,Male
1,1,0.9432043203661952,White,Not Hispanic or Latino,Joint
1,1,0.8675330590910092,White,Not Hispanic or Latino,Male
0,0,0.38490968782275964,White,Not Hispanic or Latino,Joint
1,1,0.6747024845302939,White,Not Hispanic or Latino,Male
1,1,0.9837262224700373,White,Not Hispanic or Latino,Joint
1,1,0.6627800297469784,White,Not Hispanic or Latino,Male
0,0,0.19034092106816247,Asian,Not Hispanic or Latino,Male
0,0,0.4625972426128511,White,Not Hispanic or Latino,Female
0,0,0.09745075828005637,White,Not Hispanic or Latino,Male
0,0,0.25274156734065506,Asian,Not Hispanic or Latino,Female
0,0,0.3584181125965106,White,Not Hispanic or Latino,Joint
0,1,0.6576077951648527,White,Not Hispanic or Latino,Male
1,1,0.9232223145866078,White,Not Hispanic or Latino,Joint
1,1,0.6910841528791778,White,Not Hispanic or Latino,Female
1,1,0.8680256734398837,White,Not Hispanic or Latino,Joint
0,1,0.7465167334912995,White,Not Hispanic or Latino,Male
0,0,0.2787058264824649,White,Not Hispanic or Latino,Female
1,0,0.47428127629831074,Asian,Not Hispanic or Latino,Female
1,1,0.5011989119584265,White,Not Hispanic or Latino,Male
1,1,0.9812028833755875,White,Not Hispanic or Latino,Joint
1,1,0.9019734008414138,White,Not Hispanic or Latino,Female
1,1,0.8916718385167101,Asian,Not Hispanic or Latino,Joint
1,1,0.8043758203990657,White,Not Hispanic or Latino,Male
1,1,0.658681656498632,White,Ethnicity Not Available,Male
1,1,0.7099672307070153,White,Not Hispanic or Latino,Female
1,1,0.9617318377945017,White,Not Hispanic or Latino,Joint
1,1,0.8844478714000678,White,Not Hispanic or Latino,Joint
1,1,0.8594505797201223,White,Not Hispanic or Latino,Joint
1,1,0.8664307689077629,White,Not Hispanic or Latino,Joint
1,1,0.8418582406964406,White,Not Hispanic or Latino,Female
0,0,0.4940136779948536,White,Not Hispanic or Latino,Male
0,1,0.7490923478960491,White,Not Hispanic or Latino,Male
0,0,0.48134231484851114,White,Not Hispanic or Latino,Male
1,1,0.5966151752325535,White,Not Hispanic or Latino,Joint
1,1,0.9653028836719333,White,Not Hispanic or Latino,Joint
1,1,0.9230401016313495,White,Not Hispanic or Latino,Joint
1,1,0.7693880855054758,White,Not Hispanic or Latino,Joint
1,1,0.95321692449065,White,Ethnicity Not Available,Male
1,1,0.9727362985994773,White,Joint,Male
0,0,0.3306544561273315,White,Not Hispanic or Latino,Joint
0,0,0.23064369362641784,White,Not Hispanic or Latino,Female
1,1,0.8942203575667348,White,Not Hispanic or Latino,Male
0,0,0.4671809569979473,White,Not Hispanic or Latino,Male
0,0,0.3510499193545608,White,Not Hispanic or Latino,Male
0,1,0.7746371273565954,Native Hawaiian or Other Pacific Islander,Ethnicity Not Available,Male
0,1,0.908937449246612,White,Not Hispanic or Latino,Joint
0,1,0.6017839201819095,White,Not Hispanic or Latino,Male
1,1,0.5971352079613704,White,Not Hispanic or Latino,Joint
1,1,0.9468820002051042,White,Not Hispanic or Latino,Male
0,0,0.4700355915867988,Black or African American,Not Hispanic or Latino,Female
1,0,0.4962376972898456,White,Not Hispanic or Latino,Joint
0,1,0.7646352232561859,White,Not Hispanic or Latino,Joint
1,1,0.8977084223791462,White,Not Hispanic or Latino,Male
1,1,0.9941629158541893,White,Not Hispanic or Latino,Joint
1,1,0.7704325966586957,Black or African American,Not Hispanic or Latino,Female
1,1,0.7986047586405571,White,Not Hispanic or Latino,Female
1,1,0.9575579226435103,White,Not Hispanic or Latino,Joint
0,1,0.751187831595197,White,Not Hispanic or Latino,Joint
1,1,0.7606450165474802,Asian,Not Hispanic or Latino,Joint
1,1,0.968636970573979,White,Not Hispanic or Latino,Joint
1,1,0.7084342389445092,White,Not Hispanic or Latino,Joint
1,1,0.9630560389629981,White,Not Hispanic or Latino,Joint
1,1,0.9766726463791048,White,Not Hispanic or Latino,Male
0,1,0.7555355701558857,White,Not Hispanic or Latino,Male
1,1,0.9067973600929412,White,Not Hispanic or Latino,Joint
1,1,0.792106614520375,White,Not Hispanic or Latino,Male
1,1,0.584478047382109,White,Not Hispanic or Latino,Male
0,0,0.391340733705773,Asian,Not Hispanic or Latino,Female
0,1,0.5099868302161784,White,Not Hispanic or Latino,Joint
1,1,0.9687505012678761,White,Not Hispanic or Latino,Female
1,1,0.8355862768972004,White,Not Hispanic or Latino,Male
1,1,0.9409370045812464,White,Not Hispanic or Latino,Joint
1,1,0.6701911786131396,White,Not Hispanic or Latino,Joint
1,1,0.7140428707207146,White,Joint,Joint
1,1,0.7012045237881264,White,Not Hispanic or Latino,Joint
0,0,0.3798797580643246,White,Not Hispanic or Latino,Joint
1,1,0.9492025959256313,White,Not Hispanic or Latino,Female
0,1,0.8159175656206905,White,Not Hispanic or Latino,Joint
1,1,0.7467548124828655,White,Not Hispanic or Latino,Female
0,1,0.6354899944132715,White,Hispanic or Latino,Female
0,1,0.5408584503351821,Black or African American,Not Hispanic or Latino,Female
0,0,0.4784373668939664,White,Not Hispanic or Latino,Male
0,0,0.45584237714946524,Black or African American,Not Hispanic or Latino,Joint
0,0,0.4214980687759422,White,Ethnicity Not Available,Male
1,1,0.6321556469813803,White,Not Hispanic or Latino,Joint
0,1,0.6003032055577817,White,Not Hispanic or Latino,Joint
0,0,0.2339548024519608,Asian,Not Hispanic or Latino,Male
0,0,0.38707910369794557,White,Not Hispanic or Latino,Female
0,1,0.535496712171076,White,Not Hispanic or Latino,Joint
0,1,0.523092945642712,White,Joint,Joint
1,1,0.9316580189064988,White,Not Hispanic or Latino,Joint
1,1,0.9523244506483971,White,Not Hispanic or Latino,Joint
1,1,0.8108786095490511,White,Not Hispanic or Latino,Joint
1,1,0.6580570074798496,White,Not Hispanic or Latino,Joint
1,1,0.9229946656638006,White,Not Hispanic or Latino,Male
0,1,0.9320954231945983,White,Not Hispanic or Latino,Male
0,0,0.37644733872215824,White,Not Hispanic or Latino,Joint
1,1,0.975258716228287,Asian,Not Hispanic or Latino,Joint
1,1,0.6067496043139733,White,Not Hispanic or Latino,Female
0,0,0.36625856971051035,White,Hispanic or Latino,Female
1,1,0.9582095829705607,White,Not Hispanic or Latino,Joint
0,0,0.3029205708843375,White,Not Hispanic or Latino,Joint
1,1,0.6456157147716358,White,Not Hispanic or Latino,Joint
0,0,0.2531076404957541,White,Not Hispanic or Latino,Female
0,1,0.5377074618655472,White,Joint,Joint
0,1,0.7327348983189189,White,Hispanic or Latino,Joint
1,1,0.8282099556424743,White,Not Hispanic or Latino,Female
1,1,0.5627504291596652,White,Not Hispanic or Latino,Male
